display(log)
check(C:/Documents and Settings/ewagenmakers/Desktop/temp/BayesBook/SIMPLE_2R.txt)
model is syntactically correct
data(C:/Documents and Settings/ewagenmakers/Desktop/temp/BayesBook/data.txt)
data loaded
compile(1)
model compiled
inits(1,C:/Documents and Settings/ewagenmakers/Desktop/temp/BayesBook/inits1.txt)
this chain contains uninitialized variables
gen.inits()
initial values generated, model initialized
thin.updater(1)
update(10)
set(c)
set(s)
set(t)
set(pcpred)
set(alpha)
set(deviance)
dic.set()
update(10)
coda(*,C:/Documents and Settings/ewagenmakers/Desktop/temp/BayesBook/coda)
stats(*)

Node statistics
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	pcpred[26,5]	0.3888	0.01454	0.002693	0.36	0.3908	0.4108	11	10
	pcpred[26,6]	0.2205	0.01211	0.004607	0.2	0.225	0.2367	11	10
	pcpred[26,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[26,8]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[26,9]	0.2472	0.01813	0.003563	0.2183	0.2467	0.29	11	10
	pcpred[27,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[27,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[27,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[27,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[27,5]	0.4438	0.01149	0.003576	0.4275	0.4442	0.4617	11	10
	pcpred[27,6]	0.2346	0.01146	0.003697	0.2164	0.2367	0.2523	11	10
	pcpred[27,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[27,8]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[27,9]	0.2508	0.01128	7.924E-4	0.2317	0.2575	0.2658	11	10
	pcpred[28,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[28,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[28,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[28,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[28,5]	0.5163	0.01139	0.002289	0.4992	0.5175	0.5375	11	10
	pcpred[28,6]	0.2286	0.01199	0.004878	0.2141	0.2258	0.2531	11	10
	pcpred[28,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[28,8]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[28,9]	0.2454	0.01412	0.004585	0.2217	0.245	0.2642	11	10
	pcpred[29,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[29,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[29,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[29,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[29,5]	0.6125	0.01362	0.004451	0.5883	0.6117	0.6383	11	10
	pcpred[29,6]	0.2379	0.01134	4.128E-4	0.2164	0.2438	0.25	11	10
	pcpred[29,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[29,8]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
